file,title,type,domain,audience,use_case,tone,length,keywords,source,status,content
00-Pack-Overview.md,00-Pack-Overview,pack-overview,personal-branding,self,obsidian-import,professional,short,,provided-input,draft,"# Obsidian Pack Overview

This pack contains modular branding, resume, LinkedIn, cover letter, and scenario-specific notes designed for Obsidian ingestion and vectorization.

Use the folders in this pack to store reusable content chunks that can be recombined for resumes, portfolio pages, interview prep, LinkedIn updates, and GitHub project documentation.

Recommended structure:

- `01-Branding`
- `02-Resume-Elements`
- `03-LinkedIn`
- `04-Cover-Letters`
- `05-Project-Descriptions`
- `06-Interview-Answers`
- `07-Scenario-Specific`
- `08-Keyword-Packs`"
01-Branding/Branding-Statement-Architecture-Accountability.md,Branding-Statement-Architecture-Accountability,branding-statement,personal-branding,recruiters,branding-statement,architecture,short,,provided-input,approved,"I design human-in-the-loop AI operating models where governance, accountability, and operational control remain human-owned while AI accelerates execution."
01-Branding/Branding-Statement-Core-Positioning.md,Branding-Statement-Core-Positioning,branding-statement,personal-branding,recruiters,branding-statement,positioning,short,,provided-input,approved,"I don’t use AI to replace human judgment. I use AI to amplify human capability through governance, orchestration, knowledge management, and human-directed execution."
01-Branding/Branding-Statement-Operational-Framing.md,Branding-Statement-Operational-Framing,branding-statement,personal-branding,recruiters,branding-statement,operational,short,,provided-input,approved,"I identify operational problems, define governance and business requirements, and direct AI-assisted systems to accelerate implementation, documentation, workflow development, and knowledge capture."
01-Branding/Professional-Headline.md,Professional-Headline,headline,personal-branding,recruiters,linkedin-headline,concise,short,,provided-input,approved,AI Governance | Human-in-the-Loop AI Systems | Microsoft 365 Automation | Enterprise IT Operations
02-Resume-Elements/README.md,README,folder-readme,resume-elements,self,folder-guide,instructional,short,,generated,approved,"# Resume Elements

This folder contains reusable resume targeting profiles and structure notes for AI governance, enterprise IT, and workflow/automation roles.

Use these notes to assemble tailored resume sections based on the job target and portfolio narrative."
02-Resume-Elements/Targeting-Profile-A-AI-Governance-Copilot.md,Targeting-Profile-A-AI-Governance-Copilot,resume-targeting,ai-governance,recruiters,resume-targeting,professional,medium,,provided-input,approved,"## Targeting Profile A — AI Governance / Copilot / Microsoft 365

### Positioning
AI governance and enterprise IT professional focused on governed AI adoption, Microsoft 365 automation, workflow orchestration, and knowledge systems.

### Priority Keywords

- AI governance
- Human-in-the-loop AI
- Microsoft 365 Copilot
- Microsoft 365 automation
- Power Platform
- SharePoint
- Microsoft Graph API
- Governance frameworks
- Operational controls
- Workflow orchestration
- Knowledge management
- Prompt engineering
- AI operating models

### Best Use Cases

- AI governance roles
- Copilot strategy / enablement roles
- Microsoft 365 transformation roles
- Knowledge management / automation roles"
02-Resume-Elements/Targeting-Profile-B-Enterprise-IT-Support.md,Targeting-Profile-B-Enterprise-IT-Support,resume-targeting,enterprise-it,recruiters,resume-targeting,professional,medium,,provided-input,approved,"## Targeting Profile B — Enterprise IT / Support Leadership

### Positioning
Enterprise IT professional with deep experience in technical support, endpoint environments, operational troubleshooting, documentation, and large-scale service delivery.

### Priority Keywords

- Enterprise IT operations
- Technical support
- Endpoint management
- ServiceNow
- Incident resolution
- Escalation management
- Technical documentation
- Process improvement
- Infrastructure support
- Queue management
- Help desk operations
- Cross-functional support

### Best Use Cases

- Senior support roles
- IT operations roles
- Service desk leadership roles
- Technical operations roles"
02-Resume-Elements/Targeting-Profile-C-AI-Systems-Workflow-Orchestration.md,Targeting-Profile-C-AI-Systems-Workflow-Orchestration,resume-targeting,ai-systems,recruiters,resume-targeting,technical,medium,,provided-input,approved,"## Targeting Profile C — AI Systems / Workflow Orchestration

### Positioning
Human-directed AI systems builder focused on orchestrating AI tools, knowledge repositories, and workflow automation under governance controls.

### Priority Keywords

- AI systems
- AI orchestration
- Workflow automation
- Knowledge systems
- Multi-agent systems
- Governance controls
- Documentation systems
- Operational design
- Human oversight
- AI-assisted execution
- Process design
- Automation architecture

### Best Use Cases

- AI operations roles
- Automation roles
- Internal innovation / transformation roles
- Knowledge systems roles"
03-LinkedIn/LinkedIn-About-Executive.md,LinkedIn-About-Executive,linkedin-about,ai-governance,executives,linkedin-about,executive,medium,,provided-input,approved,"AI governance and enterprise IT professional with 23 years of experience across healthcare, government, logistics, retail, hospitality, and managed services.

I design human-in-the-loop AI operating models that combine governance, Microsoft 365 automation, workflow orchestration, and knowledge systems to solve operational problems without removing human accountability.

Creator of PAIOS and AI Neural Governance v1.0. My work focuses on governed AI adoption, operational control, documentation acceleration, workflow design, and knowledge capture."
